Task Name,Status,Subtask Count
Review Credit,completed,8
Send Disclosures,completed,9
Send Disclosures (HELOC),completed,14
Notice of Incomplete,completed,3
Mailing Initial Disclosures,completed,1
Order Appraisal,completed,8
Order Title,completed,4
Order Flood Certificate,completed,1
ARM Disclosure,completed,2
Credit Score Disclosure,completed,6
Withdraw Loan,completed,3
Send Denial,completed,4
File Closure Documents,completed,5
Cancel Flood Certificate,completed,1
Appraisal Refund,completed,4
Order SSA-89,completed,0
Order Tax Transcripts,completed,0
Order AVM,completed,4
Flood Certificate Review,completed,4
Order PAR,completed,1
Recheck Flood,completed,0
Pre-Underwriting Checklist,completed,11
Order HOI,completed,1
HOI Review,completed,13
Send Commitment Letter,completed,3
Underwrite,completed,4
Title (Ownership Report),completed,6
Review Appraisal,completed,4
Send Appraisal,completed,1
Review Appraisal – Second Review,completed,2
Review Flood Insurance,planned,0
Review PAR,completed,4
Clear to Close,planned,0
Master Property Insurance Review,completed,14
Deny Loan,planned,0
CounterOffer,planned,0
Scheduling,planned,0
Send Initial CD,planned,0
Balance CD,planned,0
Prepare Closing Package,planned,0
Confirm Funding Figures,planned,0
Approve Funding Figures,planned,0
Fund Loan,planned,0
Board Loan,planned,0
Run UCD,planned,0
Activate MERS,planned,0
Activate MI,planned,0
Credit Refresh,completed,2
Fraud X Report,completed,6
Deliver Note,planned,2
Record Mortgage,planned,0
Deliver Mortgage,planned,2
Image Documents,planned,0
eFolder Cleanup,planned,0
Transfer to Cold Storage,planned,0
Transfer to SaaS,planned,0
Initial Document Quality Assurance,completed,29
